# Words missing audio files (235 total)
# Format: word | CEFR | translation
# Generated after cleanup step 2
#
activist | C1 | 活动家
angle | B2 | 角度
anybody | A2 | 任何人
bathroom | A1 | 浴室
beneficial | B2 | 有益的
bite | B1 | 咬
brilliant | A2 | 出色的
cannot | A1 | 不能
cargo | C1 | 货物
chief | B2 | 首领
conceive | C1 | 构想
conservation | B2 | 保护
crawl | C1 | 爬行
dad | A1 | 爸爸
distinct | B2 | 独特的
dust | B1 | 灰尘
education | A2 | 教育
endless | C1 | 无尽的
fixed | B1 | 固定的
flesh | C1 | 肉
front | A1 | 前面
hearing | B2 | 听证会
hip | B2 | 臀部
horizon | C1 | 地平线
ice | A1 | 冰
immediate | B1 | 立即的
immediately | A2 | 立即
litter | B2 | 垃圾
machine | A1 | 机器
magical | C1 | 神奇的
opportunity | A2 | 机会
overcome | B2 | 克服
perfectly | B1 | 完美地
petition | C1 | 请愿
protective | C1 | 保护的
protocol | C1 | 协议
province | C1 | 省
provincial | C1 | 省的
provision | C1 | 规定
provoke | C1 | 挑衅
psychiatric | C1 | 精神病学的
pulse | C1 | 脉搏
pump | C1 | 泵
quest | C1 | 探索
queue | B1 | 队列
quota | C1 | 配额
radar | C1 | 雷达
radical | C1 | 激进的
rage | C1 | 愤怒
raid | C1 | 突袭
rape | C1 | 强奸
rational | C1 | 理性的
ray | C1 | 射线
readily | C1 | 容易地
realization | C1 | 实现
realm | C1 | 领域
rear | C1 | 后部
reassure | C1 | 安慰
rebel | C1 | 反叛者
rebellion | C1 | 叛乱
recipient | C1 | 接收者
reconstruction | C1 | 重建
recount | C1 | 叙述
reflection | C1 | 反思
reform | C1 | 改革
refusal | C1 | 拒绝
regain | C1 | 恢复
regardless | C1 | 不管
regime | C1 | 政权
regulator | C1 | 监管机构
regulatory | C1 | 监管的
rehabilitation | C1 | 康复
reign | C1 | 统治
rejection | C1 | 拒绝
relevance | C1 | 相关性
reliability | C1 | 可靠性
reluctant | C1 | 不情愿的
remainder | C1 | 剩余
remains | C1 | 遗迹
remedy | C1 | 补救
reminder | C1 | 提醒
removal | C1 | 移除
render | C1 | 渲染
renew | C1 | 更新
renowned | C1 | 著名的
rental | C1 | 租赁
replacement | C1 | 替换
