term,cefr,translation
about,A1,关于
above,A1,多于
across,A1,穿过
action,A1,行动
activity,A1,活动
actor,A1,演员
actress,A1,演员
add,A1,添加
address,A1,地址
adult,A1,成人
advice,A1,建议
afraid,A1,害怕的
after,A1,后
afternoon,A1,下午
again,A1,再次
age,A1,年龄
ago,A1,前
agree,A1,同意
air,A1,空气
airport,A1,飞机场
all,A1,全部
also,A1,还
always,A1,总是
amazing,A1,惊人的
an,A1,不定冠词
and,A1,和
angry,A1,生气的
animal,A1,动物
another,A1,另一个检测/代词。
answer,A1,回答
any,A1,任何
anyone,A1,任何人
anything,A1,任何事物
apartment,A1,公寓
apple,A1,苹果
April,A1,四月
area,A1,区域
arm,A1,手臂
around,A1,大约
arrive,A1,到达
art,A1,艺术
article,A1,文章
artist,A1,艺术家
as,A1,作为
ask,A1,问
at,A1,在
August,A1,八月
aunt,A1,阿姨
autumn,A1,秋天
away,A1,离开
baby,A1,婴儿
back,A1,后退
bad,A1,坏的
bag,A1,包
ball,A1,球
banana,A1,香蕉
band,A1,乐队
bank,A1,银行
bath,A1,洗澡
bathroom,A1,浴室
be,A1,是
beach,A1,海滩
beautiful,A1,美丽的
because,A1,因为
become,A1,变得
bed,A1,床
bedroom,A1,卧室
beer,A1,啤酒
before,A1,前
begin,A1,开始
beginning,A1,开始
behind,A1,在后面
believe,A1,相信
below,A1,以下
best,A1,最好的
better,A1,更好的
between,A1,之间
bicycle,A1,自行车
big,A1,大的
bike,A1,自行车
bill,A1,账单
bird,A1,鸟
birthday,A1,生日
black,A1,黑色的
blog,A1,博客
blonde,A1,金发女郎
blue,A1,蓝色的
boat,A1,船
body,A1,身体
book,A1,书
boot,A1,启动
bored,A1,无聊的
boring,A1,无聊的
born,A1,出生
both,A1,两者都检测/代词。
bottle,A1,瓶子
box,A1,盒子
boy,A1,男生
boyfriend,A1,男朋友
bread,A1,面包
break,A1,休息
breakfast,A1,早餐
bring,A1,带来
brother,A1,兄弟
brown,A1,棕色的
build,A1,建造
